"id","nomor_ulok","lingkup_pekerjaan","nama_toko","kode_toko","proyek","cabang","alamat","nama_kontraktor"
1385,LZ01-2604-L744-R,ME,TERM. EXT. BAKAUHENI,-,Reguler,LAMPUNG,"Jln. LINTAS SUMATERA BAKAUHENI, KEL. BAKAUHENI, KEC. BAKAUHENI, KAB. LAMPUNG SELATAN",CV PUTRA PRATAMA
1386,RZ01-2604-0002,Sipil,POROS ROMANGLOE,,Alfamart Reguler,MAKASSAR,Jl. Poros Malino Desa Romangloe Kec. Bontomarannu Kab. Gowa,CV MARGI MOLARE
1387,RZ01-2604-0002,ME,POROS ROMANGLOE,R902,Reguler,MAKASSAR,Jl. Poros Malino Desa Romangloe Kec. Bontomarannu Kab. Gowa,CV MARGI MOLARE
1388,"2PZ1-2604-I211-R",ME,TAMBAK SOGRA,,Renovasi,TEGAL,"JL. SUNAN AMPEL, RT. 02, RW 01, KAB. BANYUMAS",CV BERKAH JAYA ABADI
1389,WZ01-2604-0003-R,ME,tangguk bongkar,,Renovasi,MEDAN,Jl Tangguk Bongkar 3 Tegal Sari Mandala II,CV MUTIARA BIRO JASA
1390,TZ01-2604-1M18-R,ME,RUKO AGRICOLA 2,,Renovasi,BALARAJA,JL.L AGRICOLA BLOK A NO.05-06 KEL.CURUG SANGERENG/KEC.KELAPA DUA KAB.TANGERANG,CV TANJUNG MEKARSARI
1391,"1SZ1-1S38-0000-R",Sipil,SEKOTONG,,Renovasi,LOMBOK,JLN.RAYA SEKOTONG KEC.SEKOTONG KEL.SEKOTONG TENGAH KAB.LOMBOK BARAT,NAMA PT TIDAK DITEMUKAN
1392,"1AZ1-1AX2-0005-R",Sipil,ARIF RAHMAN HAKIM PERAWANG,-,Reguler,PEKANBARU,"Jl. Arif Rahman Hakim, RT.006/RW.005, Perawang, Kec. Tualang, Kabupaten Siak, Riau 28772",PT KREASI PRIMATAMA MANDIRI
1393,"1AZ1-2602-0004",ME,SUNGAI PAKU KUANSING,,Alfamart Reguler,PEKANBARU,SUNGAI PAKU KUANSING,PT HANIF TUNGGAL MANDIRI
1394,"1AZ1-2602-0004",Sipil,SUNGAI PAKU KUANSING,,Alfamart Reguler,PEKANBARU,"JL LINTAS LIPAT KAIN, TALUK KUANTAN SUNGAI PAKU",PT HANIF TUNGGAL MANDIRI
1395,WZ01-2604-0001,ME,Tangguk Bongkar,,Alfamart Reguler,MEDAN,jl tangguk bongkar 3 tegal sari mandala 2,CV MUTIARA BIRO JASA
1396,WZ01-2604-0002,Sipil,Tangguk Bongkar,,Alfamart Reguler,MEDAN,jl tangguk bongkar 3 tegal sari mandala 2,CV MUTIARA BIRO JASA
1397,"1YZ1-2604-1Y42-R",ME,ADIPURA,,Renovasi,MANADO,"JL. RAYA ADIPURA NO 57, DESA PANIKI BAWAH, KEC. MAPANGET",CV CAHAYA FIRATAMA
1398,RZ01-2512-0003,Sipil,TAROADA MAROS,,Alfamart Reguler,MAKASSAR,Jl. Poros Maros - Makassar Kel. Taroada Kec. Turikale Kab. Luwu,CV ABADI TEKNIK
1399,WZ01-2602-0009,ME,Tangguk Bongkar,,Alfamart Reguler,MEDAN,Jl Tangguk Bongkar Kel Tegal Sari Mandala II Kec Medan Denai,CV MUTIARA BIRO JASA
1400,IZ01-2603-0003,SIPIL,RAYA KEMBANG KUNING,-,Reguler,CILACAP,JL. RAYA PITURUH RT.03 RW.01 DESA KEMBANGKUNING KEC. PITURUH KAB. PURWOREJO,CV SUMBER REJEKI
1401,IZ01-2603-0003,ME,RAYA KEMBANG KUNING,-,Reguler,CILACAP,JL. RAYA PITURUH RT.03 RW.01 DESA KEMBANGKUNING KEC. PITURUH KAB. PURWOREJO,CV SUMBER REJEKI
1402,MZ01-2603-0003,ME,Alfamart RADEN PRAYITNO,,Alfamart Reguler,MALANG,Jl. Raden Prayitno Kel. Kedung Pedaringan Kec. Kepanjen Kab. Malang,CV WEDYAKARYA
1403,"2JZ1-2604-X098-R",Sipil,KOPO CISARUA,,Renovasi,CIANJUR,"JL. RAYA PUNCAK NO.547 RT.004 RW.002, KEL LEUWIMALANG, KEC CISARUA, KAB BOGOR",CV TECHNO ARTHA UTAMA
1365,CZ01-2603-0003,ME,RUKO LAVANYA,-,Reguler,BEKASI,"RUKO LAVANYA X9 NO 21, 22, 23 DS. SETIAASIH KEC. TARUMAJAYA KAB. BEKASI",PT CITRA PARTSINDO SWADANA MANDIRI
1404,"2VZ1-2603-0005",SIPIL,RADDA LUTRA,-,Reguler,LUWU,JL. POROS PALOPO MASAMBA,PT SOLUSI HIDUP MANDIRI
