ULOK,Nama Toko,Cabang,SPK End,ST Date,Has ST,Old Denda Days,Old Denda Amount,New Denda Days,New Denda Amount,Impact Days,Impact Amount,Impact Type,Skipped Days,Skipped Weekends,Skipped Holidays,Explanation
XZ01-2026-X931-R,"SUDIRMAN RAYA",BOGOR,2026-04-25,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
XZ01-2026-X931-R,"SUDIRMAN RAYA",BOGOR,2026-04-25,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
XZ01-2026-X956-R,"RAYA SOLEH ISKANDAR",BOGOR,2026-04-25,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
XZ01-2026-X956-R,"RAYA SOLEH ISKANDAR",BOGOR,2026-04-25,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1JZ1-2602-0001,"CISAMPIH",KARAWANG,2026-04-25,2026-04-29,Yes,2,2000000,2,2000000,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1JZ1-2602-0001,"CISAMPIH",KARAWANG,2026-04-25,2026-04-29,Yes,0,0,2,2000000,2,2000000,INCREASE,1,1,0,"SPK+1 (1 weekend)"
1YZ1-2601-0005,"AER UJANG BITUNG",MANADO,2026-04-26,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1YZ1-2601-0005,"AER UJANG BITUNG",MANADO,2026-04-26,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1YZ1-2601-0003,"ALFAMART MAWALI LEMBEH",MANADO,2026-04-27,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1YZ1-2601-0003,"ALFAMART MAWALI LEMBEH",MANADO,2026-04-27,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2602-0008,"KTR MANGKURAJA",SIDOARJO BPN_SMD,2026-04-30,2026-04-30,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2603-0011,"KPG OESAPA SELATAN",NTT,2026-04-30,2026-05-04,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2603-0011,"KPG OESAPA SELATAN",NTT,2026-04-30,2026-05-04,Yes,3,3000000,0,0,-3,-3000000,REDUCTION,0,0,0,"SPK (tidak ada skip)"
UZ01-2602-0008,"KTR MANGKURAJA",SIDOARJO BPN_SMD,2026-04-30,2026-04-30,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
JZ01-2603-0001,"Stasiun KCIC Halim",CILEUNGSI,2026-05-01,,No,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
1AZ1-0001-0001-R,"REBRANDING BANDARA SSK LT.2",PEKANBARU,2026-05-01,,No,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
1AZ1-0002-0002,"REBRANDING BANDARA SSK LT.2",PEKANBARU,2026-05-01,,No,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
